City ID,city,cloud,country,date,humidity,lat,long,temperature,speed
305,barkot,0,IN,1624909407,82,30.8167,78.2,71.17,3.33
306,port-gentil,75,GA,1624909407,88,-0.7193,8.7815,76.96,6.91
307,ilo,75,PE,1624909407,82,-17.6394,-71.3375,63.46,5.75
308,lac du bonnet,0,CA,1624909408,29,50.2536,-96.0612,73.58,8.48
309,viedma,2,AR,1624909408,60,-40.8135,-62.9967,48.67,8.08
310,ingham,75,US,1624909409,73,42.6,-84.3833,83.61,5.75
311,vanimo,30,PG,1624909409,89,-2.6741,141.3028,76.86,4.23
312,pamanukan,52,ID,1624909410,88,-6.2842,107.8106,75.15,4.38
313,jiutai,54,CN,1624909410,93,44.1525,125.8328,66.54,4.21
314,san cristobal,21,VE,1624909277,60,7.7669,-72.225,77.18,6.33
315,tiznit,0,MA,1624909411,66,29.5833,-9.5,66.88,6.29
316,aksay,100,RU,1624909412,69,47.26,39.87,75.49,8.01
317,luanda,26,AO,1624909231,90,-8.8368,13.2343,72.79,9.78
318,najran,49,SA,1624909413,16,17.4924,44.1277,86.65,1.21
319,madimba,6,TZ,1624909413,84,-10.4,40.3333,71.82,7.52
320,kismayo,13,SO,1624909413,82,-0.3582,42.5454,76.87,12.28
321,curvelo,0,BR,1624909414,27,-18.7564,-44.4308,74.68,2.28
322,palmeira das missoes,6,BR,1624909414,66,-27.8994,-53.3136,41.92,9.71
323,nioro,26,GM,1624909415,48,13.35,-15.75,90.45,9.08
324,butajira,81,ET,1624909415,73,8.1167,38.3667,62.65,4.16
325,guachucal,75,CO,1624909416,59,0.9609,-77.7316,58.48,11.5
326,erzin,0,TR,1624909416,56,36.9559,36.2,78.01,1.45
327,tema,100,GH,1624909417,78,5.667,-0.0166,80.08,12.57
328,kulhudhuffushi,99,MV,1624909417,79,6.6221,73.07,82.2,13.94
329,trud,1,BG,1624909418,61,42.2333,24.7333,79.02,6.91
330,dunedin,95,NZ,1624909418,53,-45.8742,170.5036,41.81,32.99
331,rosetta,0,EG,1624909419,85,31.4044,30.4164,78.62,10.96
332,kloulklubed,100,PW,1624909419,72,7.0419,134.2556,79.3,7.67
333,taltal,0,CL,1624909420,51,-25.4,-70.4833,67.21,3.24
334,miyako,100,JP,1624909420,93,39.6367,141.9525,64.26,1.66
335,mirador,13,BR,1624909421,26,-6.3708,-44.3631,91.22,4.45
336,devonport,85,AU,1624909421,76,-41.1667,146.35,47.08,2.59
337,nampula,0,MZ,1624909422,83,-15.1165,39.2666,67.95,5.75
338,vestmannaeyjar,20,IS,1624909422,93,63.4427,-20.2734,49.19,13.8
339,biak,24,ID,1624909423,86,-0.9131,122.8766,74.57,5.93
340,zhigansk,99,RU,1624909423,85,66.7697,123.3711,52.11,12.93
341,hambantota,77,LK,1624909424,85,6.1241,81.1185,79.32,14.36
342,smolenka,40,RU,1624909424,94,52.1352,113.4974,62.67,4.47
343,san-pedro,85,CI,1624909425,88,4.7485,-6.6363,76.66,6.08
344,santa rosa,89,PH,1624909248,91,14.3122,121.1114,77.43,1.77
345,cervo,90,ES,1624909425,78,43.6702,-7.4101,59.97,14.16
346,jojoima,54,SL,1624909426,89,7.8792,-10.7878,74.23,3.6
347,egvekinot,100,RU,1624909426,75,66.3167,-179.1667,43.16,5.32
348,epinal,100,FR,1624909427,98,48.1833,6.45,63.28,3.15
349,pathein,100,MM,1624909427,89,16.7833,94.7333,79.16,4.9
350,mackay,75,AU,1624909428,88,-21.15,149.2,66.31,12.66
351,hofn,0,IS,1624909428,71,64.2539,-15.2082,53.62,6.91
352,rosarito,26,MX,1624909429,70,32.3333,-117.0333,70.12,8.5
353,benghazi,0,LY,1624909429,59,32.1167,20.0667,82.4,14.16
354,kharan,0,PK,1624909430,6,28.5833,65.4167,91.17,5.66
355,mundo nuevo,100,MX,1624909430,65,18.7,-95.5,85.68,5.86
356,silver city,90,US,1624909431,82,32.7701,-108.2803,60.76,9.22
357,maksatikha,100,RU,1624909431,98,57.797,35.8825,66.52,4.81
358,nam som,100,TH,1624909432,85,17.7704,102.1895,79.61,2.3
359,tuatapere,90,NZ,1624909432,70,-46.1333,167.6833,42.82,9.98
360,ostrovnoy,100,RU,1624909433,71,68.0531,39.5131,58.95,1.9
361,pavlodar,0,KZ,1624909433,72,52.3,76.95,66.0,11.18
362,nichinan,2,JP,1624909434,91,31.6,131.3667,73.76,3.22
363,bonthe,100,SL,1624909434,83,7.5264,-12.505,77.88,7.23
